side,price,quantity,pnl,fee,hour,day_of_week,minute,price_change,price_volatility,price_sma_5,price_sma_20,volume_change,volume_sma,price_momentum_5,price_momentum_20,price_high_10,price_low_10,price_position,is_long,is_short,notional_value,net_result,is_profitable,is_loss,is_breakeven,fee_ratio,fee_to_pnl_ratio,rolling_pnl_5,rolling_pnl_20,rolling_winrate_10,rolling_winrate_50,win_streak,loss_streak,position_size_zscore
BUY,118202.8,0.008451464,-1.0133306,0.0,11,2,12,-0.0010133304936414955,83.9333227429147,118299.92,117541.80549468084,0.0,0.008444562400000001,-0.0020330351323330506,0.0005689227329646845,118443.6,118202.8,0.0,1,0,998.9867088992,-1.0133306,0,1,0,0.0,0.0,-4.0248905,-5.226300983510639,0.0,0.0677456647398844,0,11,-1.275251425850506
BUY,118159.9,0.008463108,0.0,0.4,11,2,24,-0.00036293556497823953,102.78258012803937,118266.95999999999,117541.80549468084,0.001377749464471556,0.0084465895,-0.0013927776702582209,0.0005689227329646845,118443.6,118159.9,0.0,1,0,999.9999949692,-0.4,0,1,0,0.00040000000201232,inf,-3.0210372,-5.226300983510639,0.0,0.0677456647398844,0,12,0.6769631184842495
BUY,118159.9,0.008463108,0.0,0.4,11,2,24,0.0,110.88347036415496,118234.0,117541.80549468084,0.0,0.0084486166,-0.0013927776702582209,0.0005689227329646845,118443.6,118159.9,0.0,1,0,999.9999949692,-0.4,0,1,0,0.00040000000201232,inf,-2.0171839,-5.226300983510639,0.0,0.0677456647398844,0,13,0.6404760981188355
BUY,118145.52,0.008442837,2.516641,0.39899334,11,2,29,-0.00012169949365214983,112.530766637384,118198.16400000002,117541.80549468084,-0.002395219344949906,0.0084486166,-0.0015143076635731425,0.0005689227329646845,118443.6,118145.52,0.0,1,0,997.48336764024,2.11764766,1,0,0,0.0003999999929261016,0.15854201691858313,1.5033104,-5.226300983510639,0.1,0.0677456647398844,1,0,-2.7298332595667034
BUY,118145.52,0.008442837,0.0,0.39899334,11,2,29,0.0,105.15094369522265,118162.728,117541.80549468084,0.0,0.0084486166,-0.0014974303324720702,0.0005689227329646845,118443.6,118145.52,0.0,1,0,997.48336764024,-0.39899334,0,1,0,0.0003999999929261016,inf,1.5033104,-5.226300983510639,0.1,0.0677456647398844,0,1,-2.134071560229882
BUY,118145.52,0.008442837,0.0,0.39899334,11,2,29,0.0,86.46263100319425,118151.272,117541.80549468084,0.0,0.0084486166,-0.0004845908895559059,0.0005689227329646845,118324.7,118145.52,0.0,1,0,997.48336764024,-0.39899334,0,1,0,0.0003999999929261016,inf,2.516641,-5.226300983510639,0.1,0.0677456647398844,0,2,-1.8128468904226758
BUY,118040.0,0.008463108,-1.0147266,0.0,11,2,30,-0.0008931358548339707,96.49464144013768,118127.29199999999,117541.80549468084,0.0024009701952081297,0.0084506437,-0.0010147266543048376,0.0005689227329646845,118324.7,118040.0,0.0,1,0,998.98526832,-1.0147266,0,1,0,0.0,0.0,1.5019144,-5.226300983510639,0.1,0.0677456647398844,0,3,-0.2854961471047864
BUY,118040.0,0.008463108,-1.0147266,0.0,11,2,30,0.0,96.6718319539202,118103.312,117541.80549468084,0.0,0.008452670800000001,-0.0010147266543048376,0.0005689227329646845,118324.7,118040.0,0.0,1,0,998.98526832,-1.0147266,0,1,0,0.0,0.0,0.48718780000000006,-5.226300983510639,0.1,0.0677456647398844,0,4,-0.2772674544258217
BUY,118023.3,0.008442837,-1.0318836,0.0,11,2,31,-0.00014147746526593785,89.32053928280179,118078.86799999999,117541.80549468084,-0.002395219344949906,0.008452670800000001,-0.0010344869615030782,0.0005689227329646845,118322.7,118023.3,0.0,1,0,996.4514841021,-1.0318836,0,1,0,0.0,0.0,-3.0613368,-5.226300983510639,0.1,0.0677456647398844,0,5,-2.3814703711783904
BUY,118023.3,0.008442837,-1.0318836,0.0,11,2,31,0.0,68.4676512749132,118054.424,118252.20800000001,0.0,0.0084518081,-0.0010344869615030782,0.0005689227329646845,118202.8,118023.3,0.0,1,0,996.4514841021,-1.0318836,0,1,0,0.0,0.0,-4.0932204,-5.6014699,0.1,0.0677456647398844,0,6,-2.0391567639675685
BUY,117986.0,0.008475582,0.0,0.4,11,2,39,-0.00031603929054691005,69.63146083322414,118022.51999999999,118229.32800000001,0.003878435649059764,0.0084542199,-0.001350199313524576,-0.003863442178387062,118159.9,117986.0,0.0,1,0,1000.000017852,-0.4,0,1,0,0.00039999999285920013,inf,-4.0932204,-5.6014699,0.1,0.0677456647398844,0,7,0.8064108230034442
BUY,117986.0,0.008475582,0.0,0.4,11,2,39,0.0,71.07364008931775,118011.72,118206.448,0.0,0.0084554673,-0.00045747204337512706,-0.003863442178387062,118159.9,117986.0,0.0,1,0,1000.000017852,-0.4,0,1,0,0.00039999999285920013,inf,-3.0784938,-5.6014699,0.1,0.0677456647398844,0,8,0.7768022812902641
SELL,117986.0,0.008475582,0.0,0.4,11,2,39,0.0,67.69311194230934,118000.92,118183.56800000001,0.0,0.008456714700000001,-0.00045747204337512706,-0.003863442178387062,118145.52,117986.0,0.0,0,1,1000.000017852,-0.4,0,1,0,0.00039999999285920013,inf,-2.0637672,-5.6014699,0.1,0.0677456647398844,0,9,0.7502729248938521
SELL,117986.0,0.008475582,0.0,0.4,11,2,39,0.0,61.77339578374781,117993.46,118160.68800000001,0.0,0.0084599892,-0.00031603929054689123,-0.003863442178387062,118145.52,117986.0,0.0,0,1,1000.000017852,-0.4,0,1,0,0.00039999999285920013,inf,-1.0318836,-5.6014699,0.0,0.0677456647398844,0,10,0.7263201324316667
SELL,118106.9,0.008475582,-1.0246979,0.0,11,2,56,0.001024697845507072,55.01441059687784,118010.18000000001,118143.853,0.0,0.0084632637,0.0007083347101800345,-0.0028427031937564512,118145.52,117986.0,0.7578986960882089,0,1,1001.0247157158,-1.0246979,0,1,0,0.0,0.0,-1.0246979,-6.6261678,0.0,0.0677456647398844,0,11,1.4822471171958058
SELL,118106.9,0.008475582,-1.0246979,0.0,11,2,56,0.0,46.94756413027201,118034.36000000002,118127.018,0.0,0.008466538200000002,0.0010246978455070448,-0.0028427031937564512,118106.9,117986.0,1.0,0,1,1001.0247157158,-1.0246979,0,1,0,0.0,0.0,-2.0493958,-7.650865700000001,0.0,0.0677456647398844,0,12,1.3945452186850307
SELL,118284.99,0.008475582,2.5341144,0.40101364,12,2,3,0.0015078712590035348,93.99699929601626,118094.15800000001,118125.03250000002,0.0,0.008467785600000001,0.0025341142169410373,-0.00033560194955061667,118284.99,117986.0,1.0,0,1,1002.5341321141801,2.13310076,1,0,0,0.0003999999871867983,0.15824606813330921,0.4847185999999999,-4.1128979999999995,0.1,0.0677456647398844,1,0,2.276269694084761
SELL,118284.99,0.008475582,0.0,0.40101364,12,2,3,0.0,118.88237032176984,118153.956,118123.04699999999,0.0,0.008469033,0.0025341142169410373,-0.00033560194955061667,118284.99,117986.0,1.0,0,1,1002.5341321141801,-0.40101364,0,1,0,0.0003999999871867983,inf,0.4847185999999999,-3.1090447,0.1,0.0677456647398844,0,1,2.048594620678413
BUY,118276.9,0.008454736,0.0,0.4,12,2,9,-6.83941385970499e-05,132.33796472160185,118212.13599999998,118120.65699999998,-0.0024595361120924863,0.008470222900000001,0.00246554675978501,-0.0004039731349414189,118284.99,117986.0,0.9729422388708288,1,0,999.9999643983998,-0.4,0,1,0,0.0004000000142406406,inf,0.4847185999999999,-2.1051914,0.1,0.0677456647398844,0,2,0.3229920462177484
SELL,118276.9,0.008454736,0.0,0.4,12,2,9,0.0,139.51515670743683,118246.13599999998,118118.36700000001,0.0,0.008471412800000001,0.0014393739908506616,-0.00038707703593649325,118284.99,117986.0,0.9729422388708288,0,1,999.9999643983998,-0.4,0,1,0,0.0004000000142406406,inf,1.5094165,-2.1051914,0.1,0.0677456647398844,0,3,0.3171815151772161
SELL,118276.9,0.008454736,0.0,0.4,12,2,9,0.0,136.88328976820955,118280.13599999998,118122.072,0.0,0.008469328199999999,0.0014393739908506616,0.0006268887031440141,118284.99,117986.0,0.9729422388708288,0,1,999.9999643983998,-0.4,0,1,0,0.0004000000142406406,inf,2.5341144,-1.0918608,0.1,0.0677456647398844,0,4,0.31167450099001265
BUY,118252.5,0.008456481,0.0,0.4,12,2,24,-0.00020629556574436325,125.28995533025373,118273.63799999999,118126.702,0.00020639319784798715,0.0084674181,-0.0002746755949339408,0.0007836838047426057,118284.99,117986.0,0.891334158333039,1,0,1000.0000194525,-0.4,0,1,0,0.00039999999221900016,inf,0.0,-1.0918608,0.1,0.0677456647398844,0,5,0.3064837928239051
BUY,118153.8,0.008454736,-1.040778,0.0,12,2,52,-0.0008346546584638848,105.51710938669615,118247.4,118126.397,-0.00020635060848606113,0.0084653335,-0.0011091009941329186,-5.1624959059640954e-05,118284.99,117986.0,0.5612227833706812,1,0,998.9591863968,-1.040778,0,1,0,0.0,0.0,-1.040778,-2.1326388,0.1,0.0677456647398844,0,6,-0.4370491824473929
BUY,118125.0,0.008456481,-1.0782013,0.0,12,2,52,-0.00024375009521493407,80.21717699118763,118217.01999999999,118125.371,0.00020639319784798715,0.0084634234,-0.0012842744441221758,-0.00017368411430246423,118284.99,118106.9,0.10163400527825649,1,0,998.921818125,-1.0782013,0,1,0,0.0,0.0,-2.1189793,-5.7274811,0.1,0.0677456647398844,0,7,-0.4562162801785704
BUY,118038.3,0.008471826,0.0,0.4,12,2,54,-0.0007339682539682091,92.44935247649822,118169.3,118120.01000000001,0.0018145845772017388,0.008463047800000002,-0.002017300081419037,-0.0009075248896445769,118284.99,118038.3,0.0,1,0,999.9999389358001,-0.4,0,1,0,0.0004000000244256815,inf,-2.1189793,-5.7274811,0.1,0.0677456647398844,0,8,0.33645415378026067
BUY,118038.3,0.008471826,0.0,0.4,12,2,54,0.0,102.73457632814413,118121.58,118114.649,0.0,0.008462672199999998,-0.002017300081419037,-0.0009075248896445769,118284.99,118038.3,0.0,1,0,999.9999389358001,-0.4,0,1,0,0.0004000000244256815,inf,-2.1189793,-5.7274811,0.1,0.0677456647398844,0,9,0.33134791191101426
BUY,117965.78,0.008475582,2.7054906,0.39993146,12,2,59,-0.0006143768590364251,121.55634670111542,118064.236,118110.938,0.0004433518818729443,0.0084626722,-0.0024246421851546575,-0.0006287699085056012,118284.99,117965.78,0.0,1,0,999.82864158396,2.30555914,1,0,0,0.00040000000336699296,0.14782215839153165,0.5865113000000002,-2.0072639,0.1,0.0677456647398844,1,0,0.19843037248913706
BUY,117965.78,0.008454736,0.0,0.3989478,12,2,59,0.0,129.3567308045124,118026.63200000001,118107.227,-0.0024595361120924863,0.0084605876,-0.0015913157257744065,-0.0006287699085056012,118276.9,117965.78,0.0,1,0,997.3695269340799,-0.3989478,0,1,0,0.0003999999891979536,inf,1.6272893000000002,-0.9925373,0.1,0.0677456647398844,0,1,-1.612015619506015
BUY,117965.78,0.008454736,0.0,0.3989478,12,2,59,0.0,129.38879525585878,117994.78800000002,118104.351,0.0,0.0084605876,-0.0013478941798941897,-0.000487361393894291,118276.9,117965.78,0.0,1,0,997.3695269340799,-0.3989478,0,1,0,0.0003999999891979536,inf,2.7054906,0.039346300000000056,0.1,0.0677456647398844,0,2,-1.5399472313251148
BUY,117916.0,0.008471826,-1.0361043,0.0,12,2,59,-0.0004219867829466928,126.69831150319102,117970.32800000001,118098.98599999999,0.0020213522929635186,0.008462296599999999,-0.0010361043830689099,-0.0009091425167742548,118276.9,117916.0,0.0,1,0,998.963834616,-1.0361043,0,1,0,0.0,0.0,1.6693863,0.03512559999999998,0.1,0.0677456647398844,0,3,-0.35934318511791613
BUY,117916.0,0.008471826,-1.0361043,0.0,12,2,59,0.0,111.66488229410515,117945.86799999999,118095.48599999999,0.0,0.008464005600000001,-0.0010361043830689099,-0.0005932907294085739,118252.5,117916.0,0.0,1,0,998.963834616,-1.0361043,0,1,0,0.0,0.0,0.6332819999999999,-1.0009787,0.1,0.0677456647398844,0,4,-0.35447281945389625
SELL,118084.2,0.008468534,0.0,0.4,13,2,9,0.0014264391600800064,84.37601873609994,117969.552,118100.396,-0.0003885821073285056,0.0084652109,0.0010038504386610952,0.0008323021375417175,118153.8,117916.0,0.7073170731707108,0,1,1000.0000625627999,-0.4,0,1,0,0.0003999999749748816,inf,-2.0722086,-1.0009787,0.1,0.0677456647398844,0,5,0.4209009047584141
SELL,118084.2,0.008468534,0.0,0.4,13,2,9,0.0,74.06921810770798,117993.23599999999,118105.30599999998,0.0,0.0084665907,0.0010038504386610952,0.0008323021375417175,118125.0,117916.0,0.8047846889952014,0,1,1000.0000625627999,-0.4,0,1,0,0.0003999999749748816,inf,-2.0722086,-1.0009787,0.1,0.0677456647398844,0,6,0.41522059336091005
SELL,118084.2,0.008468534,0.0,0.4,13,2,9,0.0,67.89291571600114,118016.92,118110.21599999999,0.0,0.008467796,0.0010038504386610952,0.0008323021375417175,118084.2,117916.0,1.0,0,1,1000.0000625627999,-0.4,0,1,0,0.0003999999749748816,inf,-2.0722086,-1.0009787,0.1,0.0677456647398844,0,7,0.40976500700537055
BUY,117810.8,0.008454736,-1.310315,0.0,13,2,17,-0.0023152970507485104,90.2482545474524,117995.88,118095.411,-0.0016293256896648955,0.008466087,-0.0008921605210488576,-0.002507050815828637,118084.2,117810.8,0.0,1,0,996.0592119487999,-1.310315,0,1,0,0.0,0.0,-2.3464193,-1.2865958,0.1,0.0677456647398844,0,8,-2.4351498608559146
