future_profitable,future_price_up,future_long_bias,future_volatility,future_pnl,future_net_result
0.0,0,1.0,69.72508156975505,-1.0812124,-1.0812124
0.0,0,1.0,104.08562821015695,0.0,-0.4
0.0,0,1.0,90.70285552229133,0.0,-0.4
0.0,0,1.0,90.70285552227374,0.0,-0.4
1.0,1,0.8,133.69725681515615,2.5009089,2.0999085500000003
0.0,1,0.6,160.8770695901102,0.0,-0.40100035
0.0,1,0.4,160.8770695901308,0.0,-0.40100035
0.0,1,0.2,145.15065387353673,-1.016122,-1.016122
0.0,1,0.0,45.45001782092788,-1.016122,-1.016122
0.0,1,0.0,45.45001782094116,-1.016122,-1.016122
0.0,1,0.2,36.547717848380216,0.0,-0.4
0.0,1,0.2,3.176790821853948,0.0,-0.4
0.0,0,0.4,60.354105079310656,-1.1195405,-1.1195405
0.0,1,0.4,67.7103389440989,-1.0539374,-1.0539374
0.0,1,0.4,73.21405602700224,-1.0539374,-1.0539374
0.0,1,0.2,100.81488977291659,-1.2358233,-1.2358233
0.0,1,0.4,100.53622730103446,0.0,-0.4
0.0,1,0.4,57.12273627833859,0.0,-0.4
0.0,0,0.6,60.5469817573484,0.0,-0.4
0.0,0,0.6,62.475739290741764,0.0,-0.4
0.0,0,0.8,52.994811066038196,-1.0057536,-1.0057536
0.0,0,0.8,64.90512306378623,-1.0057536,-1.0057536
0.0,0,0.8,64.90512306378623,-1.0057536,-1.0057536
0.0,1,0.6,108.66051720806605,-1.0634677,-1.0634677
0.0,1,0.8,135.72700541868937,0.0,-0.4
0.0,1,0.6,136.45755017559915,0.0,-0.4
0.0,1,0.4,111.73279285835241,0.0,-0.4
0.0,1,0.2,3.532987394493292,0.0,-0.4
0.0,1,0.2,54.917829526763974,-1.0410722,-1.0410722
0.0,1,0.0,67.26033006112765,-1.0410722,-1.0410722
0.0,1,0.0,67.26033006113661,-1.0410722,-1.0410722
1.0,1,0.0,123.23904413754664,2.8883822,2.48722685
0.0,1,0.2,220.33528314807447,0.0,-0.4
0.0,1,0.4,250.25823263171216,0.0,-0.4
0.0,1,0.4,227.4658655709771,0.0,-0.4
0.0,1,0.4,126.02479121172604,0.0,-0.4
0.0,1,0.4,54.64950136974012,-1.0305469,-1.0305469
0.0,1,0.2,66.93169652684527,-1.0305469,-1.0305469
0.0,0,0.2,101.16732674120202,-1.0052471,-1.0052471
0.0,0,0.4,120.70186411137401,-1.0052471,-1.0052471
0.0,0,0.6,164.52504368624432,0.0,-0.4
0.0,0,0.8,151.37021833888159,0.0,-0.4
0.0,0,0.8,70.82052668514828,0.0,-0.4
0.0,0,0.6,57.82471789781278,0.0,-0.4
0.0,0,0.6,54.64950136974031,-1.0327113,-1.0327113
0.0,0,0.6,66.93169652683946,-1.0327113,-1.0327113
0.0,0,0.6,66.41278491345415,0.0,-0.4
0.0,0,0.8,54.020505365652866,0.0,-0.4
0.0,0,1.0,59.51943380072837,-1.1378056,-1.1378056
0.0,0,1.0,73.14880039999352,-1.1378056,-1.1378056
0.0,0,1.0,73.66868398414897,0.0,-0.4
0.0,0,1.0,60.15022859436856,0.0,-0.4
0.0,0,1.0,55.18615768425631,-1.0450941,-1.0450941
0.0,0,1.0,67.58896359576495,-1.0450941,-1.0450941
1.0,0,1.0,66.41874795528526,3.1309235,2.7321758800000002
0.0,0,1.0,53.788566814392304,0.0,-0.39874762
0.0,0,1.0,54.690203144112964,-1.0599234,-1.0599234
0.0,1,1.0,55.75899317549157,0.0,-0.4
0.0,1,1.0,56.72818805448113,0.0,-0.4
